Loan Purpose,Checking,Savings,Months Customer,Months Employed,Gender,Marital Status,Age,Housing,Years,Job,Credit Risk
Small Appliance,893,0,16,94,1,1,49,0,4,1,0
Business,12760,4873,13,73,1,1,56,2,4,2,0
Furniture,0,0,13,94,1,1,48,2,4,1,0
Small Appliance,0,717,22,10,0,2,24,0,2,1,1
Small Appliance,959,7876,28,20,1,1,22,0,2,2,1
Small Appliance,0,4449,25,87,1,1,30,0,4,1,1
Other,0,0,25,54,1,1,39,0,3,0,1
Business,0,104,25,23,1,0,20,0,2,2,0
Repairs,0,897,19,2,0,2,22,0,4,1,1
New Car,698,4033,16,20,1,0,24,2,2,1,1
Furniture,0,945,13,6,1,2,41,0,1,1,0
Furniture,0,836,25,99,1,1,32,0,4,1,0
Small Appliance,0,325,19,13,0,2,23,0,2,1,1
Small Appliance,12974,19568,13,7,0,2,41,2,3,1,0
Furniture,0,803,13,89,1,1,52,1,4,0,1
Small Appliance,317,10980,13,17,1,1,65,0,3,2,1
Business,0,265,13,10,0,2,26,0,2,1,0
Repairs,0,609,31,3,1,2,33,0,1,2,1
Small Appliance,0,1851,12,0,0,2,56,0,4,2,0
Furniture,192,199,25,5,0,2,24,0,4,2,1
New Car,0,500,28,7,0,2,20,2,3,1,1
New Car,0,509,16,3,1,1,35,0,3,1,0
Used Car,0,270,25,25,1,1,34,0,3,1,0
New Car,0,457,13,63,1,1,38,0,4,0,0
Used Car,0,260,25,78,1,1,34,0,4,0,0
New Car,942,3036,25,36,1,1,37,0,3,1,0
Small Appliance,0,643,19,6,1,1,31,1,2,0,0
New Car,3329,0,19,15,1,1,67,2,4,1,1
Used Car,0,6345,25,19,1,1,26,0,2,1,0
Education,0,922,37,9,0,2,24,0,2,0,1
Furniture,0,909,25,3,1,1,21,1,1,1,0
Large Appliance,0,775,19,8,1,0,46,0,3,2,1
Furniture,0,979,25,48,1,1,22,2,4,1,1
Furniture,0,948,19,2,0,2,20,2,4,1,0
Business,339,2790,22,55,1,2,60,2,2,2,1
Used Car,0,309,49,37,1,1,25,0,3,1,0
Small Appliance,0,762,10,1,0,2,21,2,4,1,1
Small Appliance,0,970,13,14,0,2,22,0,1,1,0
Used Car,105,320,28,54,1,1,29,0,2,0,0
Small Appliance,0,861,13,111,1,1,56,0,4,2,1
Repairs,216,262,37,2,1,1,32,2,1,2,1
Furniture,113,692,11,14,1,2,30,0,2,2,0
Used Car,109,540,37,1,1,0,27,2,4,0,1
New Car,0,470,13,0,0,2,37,0,2,2,0
New Car,0,192,7,2,1,1,39,0,4,2,0
New Car,8176,12230,7,5,1,0,26,0,2,2,0
Repairs,0,772,25,19,1,2,32,0,2,1,0
Furniture,468,14186,22,24,1,1,31,0,2,1,0
Used Car,7885,6330,16,14,1,1,35,0,2,1,0
Small Appliance,0,18716,19,93,1,1,31,0,3,0,0
New Car,0,886,22,96,1,1,64,0,4,1,0
Business,0,750,37,2,1,2,27,0,1,1,1
Small Appliance,0,3870,25,11,0,2,31,0,2,2,1
Small Appliance,0,3273,13,4,1,0,32,0,3,2,1
Business,0,406,6,35,1,1,73,0,4,2,0
Furniture,0,461,13,48,0,2,30,0,4,2,0
Furniture,0,340,19,4,1,0,42,0,1,2,1
Small Appliance,0,6490,19,85,1,1,45,0,4,1,0
Small Appliance,734,348,7,100,1,1,27,0,4,1,0
Furniture,0,506,25,3,0,2,22,2,4,2,1
Used Car,0,14717,28,7,1,1,26,0,2,1,0
Business,172,0,25,36,1,1,33,0,3,1,0
New Car,644,1571,19,1,0,2,27,0,3,1,1
New Car,0,0,25,19,0,2,24,2,4,1,1
Furniture,617,411,31,3,1,0,21,0,1,1,0
New Car,0,544,25,0,0,2,28,2,4,2,1
Small Appliance,586,0,13,0,1,1,51,0,1,0,1
Furniture,0,835,19,42,0,2,21,0,1,1,1
Small Appliance,0,823,25,47,1,1,27,0,2,1,0
Business,0,5180,22,4,1,1,40,0,2,2,1
Small Appliance,0,408,16,12,1,1,34,1,4,1,0
New Car,0,821,48,5,0,2,34,0,1,2,0
Education,522,385,10,66,1,1,63,0,4,2,0
New Car,585,2223,16,0,1,1,33,0,2,0,1
New Car,5588,0,22,10,0,2,28,0,4,1,1
New Car,0,605,37,20,0,2,24,0,2,1,1
Furniture,352,7525,13,4,0,2,18,2,4,2,0
Small Appliance,0,3529,14,0,0,2,63,0,4,1,0
Business,2715,1435,49,14,1,2,37,0,2,1,1
Other,560,887,25,20,1,1,38,0,3,0,1
Small Appliance,895,243,13,4,1,0,22,2,1,1,1
New Car,305,4553,7,2,0,2,31,0,1,2,1
Small Appliance,0,418,19,4,1,1,31,0,2,1,0
New Car,0,771,25,0,1,1,42,1,2,1,1
Furniture,0,463,11,13,1,1,24,2,2,2,1
Business,8948,110,31,90,1,1,65,0,4,0,1
Used Car,0,10099,16,108,1,1,22,2,4,1,0
Used Car,0,13428,7,0,0,2,22,2,2,2,0
Small Appliance,0,208,13,23,1,1,51,0,4,1,0
Small Appliance,0,552,13,15,0,2,23,0,4,2,1
Education,0,3105,16,19,0,2,30,0,3,1,0
Small Appliance,483,415,19,6,1,0,32,0,2,1,1
Large Appliance,0,1238,13,0,0,2,21,0,3,1,1
Education,0,238,13,2,0,2,52,0,4,1,1
Furniture,0,127,31,35,0,2,22,2,4,1,1
Business,663,0,19,57,1,1,41,0,2,1,0
New Car,624,785,37,9,0,2,53,2,2,1,0
Repairs,0,718,19,0,0,2,54,1,4,2,1
Furniture,0,493,13,21,1,1,37,0,3,2,0
Small Appliance,152,757,49,45,1,1,27,0,4,1,1
New Car,0,9125,13,24,0,2,25,0,2,1,1
Small Appliance,0,364,13,12,0,2,34,0,2,1,0
Business,498,598,37,14,1,2,29,0,2,0,1
New Car,0,374,10,19,1,1,27,0,3,2,1
Small Appliance,156,0,13,58,0,2,32,0,3,2,1
Used Car,1336,0,37,11,1,1,29,0,2,0,0
New Car,0,508,13,3,1,1,32,0,1,2,1
Small Appliance,0,956,25,4,0,2,28,2,2,2,1
Furniture,0,636,22,41,0,2,25,2,4,2,0
New Car,2641,0,13,71,0,2,51,1,4,0,0
Used Car,0,1519,40,74,1,1,44,0,2,0,0
Business,0,922,19,29,1,1,33,0,1,1,0
Furniture,0,180,5,2,0,2,22,2,3,2,0
Used Car,0,701,22,108,1,1,35,0,4,0,0
Small Appliance,0,296,16,8,1,1,30,0,2,1,0
Small Appliance,887,519,7,42,1,0,27,0,3,2,0
Business,0,800,49,2,0,2,23,2,4,1,1
Furniture,0,736,13,6,0,2,19,2,4,1,1
Small Appliance,0,11838,7,70,1,1,44,0,4,2,0
Small Appliance,0,364,5,35,1,1,41,0,1,2,0
New Car,18408,212,13,9,0,2,35,0,2,1,0
New Car,497,888,16,3,0,2,25,2,1,2,1
Used Car,0,999,25,0,1,1,28,1,2,0,0
Small Appliance,946,0,16,83,1,1,34,0,2,1,0
Business,986,578,28,1,0,2,31,0,1,1,0
Education,8122,136,22,4,1,2,32,2,1,1,1
Furniture,0,734,37,111,1,1,41,0,2,1,1
Business,778,861,49,21,1,1,22,0,2,1,1
Other,645,855,25,17,1,1,28,0,3,0,1
Furniture,0,4486,10,3,0,2,21,2,4,1,0
New Car,682,2017,37,85,1,1,41,0,4,0,1
New Car,19812,0,25,37,1,1,36,0,2,2,1
Business,0,500,25,1,1,1,26,0,2,1,1
Used Car,0,859,31,89,1,1,37,1,4,0,0
Business,859,3305,25,26,1,1,35,2,4,0,0
Small Appliance,0,1218,13,38,1,1,34,0,1,1,0
New Car,0,9016,49,22,1,1,43,1,2,1,1
New Car,0,11587,22,46,0,2,30,0,2,0,0
Furniture,0,8944,25,66,1,1,31,2,3,1,0
Repairs,0,807,25,75,1,1,43,1,4,1,0
Small Appliance,0,867,31,27,0,2,24,0,2,1,0
Small Appliance,795,16804,49,40,1,1,26,0,2,1,1
Furniture,0,347,16,5,0,2,45,2,1,1,0
Furniture,0,836,16,4,1,1,26,0,3,2,0
Furniture,0,142,7,53,0,2,48,0,1,1,0
Furniture,0,169,19,6,1,1,43,0,3,1,1
Other,852,3613,61,83,0,2,59,1,4,0,1
Education,0,403,7,5,0,2,55,0,2,1,0
Small Appliance,0,836,25,0,1,1,29,0,2,0,1
New Car,425,0,19,7,0,2,32,0,2,1,1
Business,0,11481,25,18,1,1,53,0,3,0,1
Business,0,3285,7,21,1,1,33,0,2,2,0
Education,0,164,13,65,0,2,56,1,4,2,0
New Car,11072,891,61,17,1,1,33,1,4,1,0
Used Car,0,0,37,49,1,1,46,1,4,1,1
Used Car,219,841,43,0,1,1,54,1,2,0,0
New Car,8060,607,19,71,0,2,22,0,2,0,0
New Car,0,486,12,22,1,1,35,2,2,1,0
New Car,0,108,25,52,1,1,46,0,4,2,1
Small Appliance,0,0,43,28,0,2,29,0,3,0,1
New Car,0,113,25,31,0,2,22,2,4,1,1
New Car,1613,0,25,118,1,0,53,0,4,1,0
Furniture,757,208,25,36,1,2,42,0,3,1,1
Retraining,0,603,13,35,1,0,20,2,4,1,1
New Car,0,343,19,22,0,2,35,0,3,1,0
Education,977,463,10,61,0,2,33,0,3,0,1
Education,197,0,37,17,1,0,26,0,2,1,0
Furniture,0,299,19,11,1,1,46,1,4,1,0
New Car,0,490,13,15,0,2,28,0,2,1,1
Small Appliance,0,6628,37,65,1,1,38,0,4,1,0
Business,0,859,19,23,1,1,35,0,2,1,1
New Car,0,750,13,14,1,1,47,0,4,1,1
Small Appliance,256,954,10,13,1,1,23,0,3,1,0
New Car,296,591,37,103,1,1,56,1,4,1,1
Furniture,0,13970,13,24,0,2,28,2,4,2,1
New Car,0,857,11,34,1,1,48,0,3,1,0
Furniture,0,5857,19,20,1,1,27,0,2,1,0
Small Appliance,298,3326,73,15,1,0,23,0,2,1,1
Small Appliance,0,726,19,7,0,2,24,2,4,1,1
Furniture,8636,214,11,3,0,2,22,0,2,1,0
New Car,0,207,13,119,1,1,42,2,4,1,1
New Car,0,713,13,29,1,1,25,0,2,1,1
New Car,19766,2141,11,54,0,2,47,1,4,2,1
New Car,0,483,19,90,0,2,32,2,4,1,1
New Car,0,127,7,13,1,1,25,2,3,1,0
Furniture,0,367,37,22,1,1,36,0,2,1,0
Small Appliance,0,813,43,28,1,1,25,0,2,1,1
Furniture,4089,0,7,14,1,0,26,0,2,1,0
New Car,0,102,7,0,0,2,53,0,4,2,0
Repairs,271,759,19,0,0,2,66,0,4,1,0
New Car,949,0,49,36,0,2,23,0,2,1,0
Small Appliance,0,503,13,62,1,1,25,0,2,1,0
Small Appliance,911,823,46,4,1,1,24,0,2,2,1
New Car,0,693,19,28,1,1,31,1,4,2,1
Used Car,0,973,49,81,0,2,57,1,4,2,1
New Car,0,648,15,57,1,2,44,0,4,0,1
Other,0,523,37,0,1,2,42,0,3,0,0
Used Car,271,7090,25,2,0,2,27,2,4,1,1
Small Appliance,0,596,13,67,1,1,51,0,4,1,0
Used Car,0,904,49,119,1,1,23,1,4,1,1
New Car,0,541,19,13,1,1,31,0,2,1,1
Furniture,0,154,37,2,0,2,22,2,4,1,1
New Car,4802,0,37,12,1,1,35,0,4,1,0
Business,177,0,49,9,1,1,37,1,4,1,0
Small Appliance,0,337,25,107,1,1,35,0,1,0,0
New Car,0,716,19,33,1,1,30,0,2,1,1
Education,996,837,49,83,1,1,49,1,4,1,1
Education,705,0,25,24,0,2,32,0,2,1,0
Furniture,0,7710,25,114,1,1,52,0,4,1,0
New Car,0,531,13,5,1,1,45,0,2,1,1
Small Appliance,5960,129,13,16,1,0,23,0,1,1,0
Furniture,0,941,13,111,1,1,41,0,4,1,0
Furniture,759,596,10,18,0,2,28,0,2,1,1
Furniture,0,987,37,101,1,1,30,0,4,1,1
Small Appliance,651,0,37,102,1,1,50,0,2,1,0
Business,257,460,49,75,0,2,58,2,3,1,1
Small Appliance,955,0,49,29,1,1,36,0,3,1,0
Small Appliance,0,798,25,42,1,1,23,2,4,2,1
Small Appliance,8249,0,31,77,1,1,48,0,4,2,0
Small Appliance,0,959,11,21,1,1,37,0,4,1,0
Small Appliance,956,1482,46,19,1,1,20,2,4,1,1
New Car,382,883,31,20,0,2,23,0,2,1,1
Furniture,0,12721,37,31,0,2,39,0,4,1,0
Education,842,0,37,9,1,1,34,1,4,2,0
Repairs,3111,0,13,27,0,2,22,0,4,1,0
Small Appliance,0,302,10,30,1,1,21,0,2,1,1
Furniture,0,538,25,59,1,1,38,2,2,0,1
Small Appliance,2846,0,13,14,1,1,36,1,4,1,0
Small Appliance,231,702,10,99,1,1,26,0,4,2,0
Repairs,0,2688,10,89,1,1,47,0,4,1,0
Small Appliance,17366,0,16,21,1,1,38,1,4,1,1
Small Appliance,0,425,13,10,1,1,27,2,2,1,1
New Car,332,214,25,2,1,1,25,0,1,1,0
Small Appliance,242,0,19,6,1,1,28,0,3,1,0
New Car,0,272,7,90,1,1,67,0,4,0,1
Business,929,124,9,1,1,0,25,0,2,1,0
Small Appliance,0,17124,13,95,1,0,34,0,1,1,0
Used Car,0,612,49,32,1,1,38,1,4,1,1
New Car,0,862,49,62,1,1,41,1,4,0,1
Furniture,0,146,25,46,1,1,26,0,4,1,1
New Car,0,14190,37,92,1,1,35,0,4,1,0
Used Car,0,396,49,73,1,1,45,1,4,1,1
Small Appliance,0,519,31,23,0,2,32,0,2,1,0
Used Car,646,0,25,9,1,2,47,1,4,1,0
New Car,538,344,13,40,1,0,24,0,3,2,1
Furniture,0,204,31,5,1,2,30,0,4,2,1
Small Appliance,0,148,43,2,1,1,33,0,3,1,1
Furniture,0,435,19,16,0,2,23,2,4,1,1
Small Appliance,0,914,19,0,0,2,21,2,4,1,1
New Car,135,0,37,7,1,1,36,1,4,1,1
Used Car,2472,0,37,41,1,1,30,0,2,0,0
New Car,0,412,25,22,1,1,52,1,4,1,1
New Car,10417,19811,13,27,1,0,27,0,2,1,1
Small Appliance,211,822,8,5,0,2,44,0,1,1,0
Small Appliance,16630,0,11,47,1,1,26,0,2,1,0
Furniture,0,3369,25,17,1,1,24,0,1,1,0
Furniture,642,0,13,65,0,2,24,0,2,1,1
Small Appliance,0,707,7,26,1,1,50,0,2,1,0
Small Appliance,296,818,19,93,1,0,31,0,2,2,0
Business,898,177,22,105,0,2,38,0,4,1,1
New Car,478,4071,10,40,1,1,28,0,3,1,1
New Car,315,466,13,3,1,1,48,0,3,2,0
New Car,122,460,37,109,1,1,56,1,2,0,1
Furniture,0,991,7,3,0,2,31,0,4,1,1
Small Appliance,0,17653,22,4,0,2,28,0,2,1,0
Education,0,497,41,24,1,1,26,0,3,1,1
Business,670,4014,31,21,0,2,25,2,4,2,1
Business,444,921,28,51,0,2,41,1,4,0,1
New Car,3880,0,23,37,0,2,24,2,4,1,0
Used Car,819,0,13,23,1,1,29,0,2,1,0
Used Car,0,607,37,17,1,1,25,0,2,1,1
Large Appliance,0,15800,16,40,1,1,35,0,3,1,0
Furniture,0,369,7,23,1,1,35,0,2,2,0
Business,0,4973,25,17,1,1,26,0,3,2,0
Furniture,0,0,40,30,1,1,29,0,4,0,0
New Car,0,761,25,92,1,1,59,0,4,2,1
Education,0,471,7,52,0,2,34,1,4,1,1
Used Car,0,674,37,69,1,1,41,1,4,1,0
New Car,0,547,13,40,1,2,35,0,3,1,1
Furniture,161,524,13,106,1,1,27,2,4,1,0
Furniture,0,815,19,13,1,1,41,0,3,1,1
Used Car,0,0,11,4,0,2,30,2,4,1,0
New Car,789,989,31,0,1,0,27,0,2,0,1
Small Appliance,765,10406,10,24,0,2,65,0,3,2,0
Furniture,0,957,19,11,0,2,19,2,4,1,1
New Car,0,770,37,3,0,2,33,0,4,1,1
Furniture,983,950,13,5,0,2,24,2,3,1,1
Used Car,0,160,13,7,1,0,40,2,4,1,0
Used Car,0,276,25,91,1,1,62,0,4,1,0
Education,798,137,25,25,0,2,33,1,4,2,1
New Car,0,579,22,70,1,0,29,0,3,1,0
New Car,193,2684,13,5,0,2,22,0,2,2,1
Small Appliance,497,0,7,51,1,1,35,1,4,1,0
Furniture,0,0,31,53,1,1,30,0,4,1,1
New Car,0,0,25,103,0,2,28,0,2,1,1
New Car,0,712,16,6,0,2,28,0,2,1,1
New Car,0,912,7,39,1,1,44,0,3,0,0
